"","user","negative","positive","sentiment","lon","lat"
"2422","HowlJPengdragon",1,0,-1,NA,NA
"2423","Howsoonisnow5",0,3,3,NA,NA
"2424","hquinn26272",1,2,1,-74.0059728,40.7127753
"2425","Hranicalove",0,1,1,-80.4549026,38.5976262
"2426","hrdcrepnk",0,1,1,-80.8431267,35.2270869
"2427","HSilvasy",0,1,1,NA,NA
"2428","HT_KansasCity",0,1,1,-94.5785667,39.0997265
"2429","httpsashlxy",0,1,1,-120.7401385,47.7510741
"2430","HuckelCommaSean",1,0,-1,-75.1652215,39.9525839
"2431","hudacouture",0,1,1,-77.0732748,39.5156627
"2432","Hudacy",0,1,1,NA,NA
"2433","hultz6",0,1,1,NA,NA
"2434","huma_nity81",1,0,-1,NA,NA
"2435","HumanoidGustav",0,1,1,-99.4803241,27.5305671
"2436","HuntDvorak2",1,0,-1,NA,NA
"2437","hunthertornado",1,0,-1,NA,NA
"2438","Hurdlesnturtles",0,1,1,NA,NA
"2439","HuskyHeroine_",1,0,-1,79.7768334,11.9231541
"2440","Hutme987J",1,0,-1,-74.0059728,40.7127753
"2441","huttohippos1449",1,0,-1,-99.9018131,31.9685988
"2442","Huzaahmed",1,0,-1,NA,NA
"2443","HWDECA",1,0,-1,-70.8431049,42.6362052
"2444","hydrajohnic",1,3,2,NA,NA
"2445","hyenabbq",0,1,1,-71.0588801,42.3600825
"2446","hylianbabe",1,1,0,NA,NA
"2447","hypnoyouellie",0,1,1,153.0251235,-27.4697707
"2448","HZhero54",1,3,2,-71.4774291,41.5800945
"2449","hzmnghzli",2,0,-2,NA,NA
"2450","I_PlanVacations",0,1,1,-98.4170523,29.5170728
"2451","i_stan_noel",0,1,1,-71.3824374,42.4072107
"2452","iamasnarkypants",1,0,-1,-122.3320708,47.6062095
"2453","iamjoshfarrar",1,0,-1,-95.3698028,29.7604267
"2454","IamMrKennedy",1,0,-1,-79.6370059,39.2139942
"2455","IAmRoyaltyC",0,1,1,NA,NA
"2456","iamsyanne",0,1,1,NA,NA
"2457","iamteacherfit",0,2,2,NA,NA
"2458","IamtheRamos",1,1,0,NA,NA
"2459","ian_snake",2,3,1,-84.3879824,33.7489954
"2460","IanMerritt",1,0,-1,-73.087749,41.6032207
"2461","iansquared_gif",1,0,-1,NA,NA
"2462","IanTheHumanbian",1,1,0,-80.8431267,35.2270869
"2463","Iastjedirey",1,0,-1,NA,NA
"2464","IBella143",0,1,1,-83.985,42.43472
"2465","ibgwiraga",3,1,-2,115.2126293,-8.6704582
"2466","icebergshortie",0,1,1,-90.0715323,29.9510658
"2467","icecream_0760",0,2,2,98.704075,16.7751826
"2468","icee95_",0,1,1,NA,NA
"2469","icemanx62",0,1,1,-74.0059728,40.7127753
"2470","iconcollector2",1,0,-1,-79.9958864,40.4406248
"2471","iDanielaaa",0,1,1,NA,NA
